Date,Top 3 ETFs
2015-08,"XLP, XLV, XLY"
2015-09,"XLP, XLV, XLY"
2015-10,"XLP, XLU, XLY"
2015-11,"XLK, XLP, XLY"
2015-12,"XLK, XLV, XLY"
2016-01,"XLP, XLV, XLY"
2016-02,"XLK, XLP, XLY"
2016-03,"XLP, XLU, XLY"
2016-04,"XLK, XLP, XLU"
2016-05,"XLP, XLU, XLY"
2016-06,"XLP, XLU, XLY"
2016-07,"XLK, XLP, XLU"
2016-08,"XLK, XLP, XLU"
2016-09,"XLK, XLP, XLU"
2016-10,"XLB, XLI, XLK"
2016-11,"XLK, XLP, XLU"
2016-12,"XLF, XLI, XLU"
2017-01,"XLE, XLF, XLI"
2017-02,"XLB, XLF, XLI"
2017-03,"XLE, XLF, XLK"
2017-04,"XLF, XLI, XLK"
2017-05,"XLF, XLI, XLK"
2017-06,"XLF, XLI, XLK"
2017-07,"XLF, XLI, XLK"
2017-08,"XLF, XLI, XLK"
2017-09,"XLF, XLI, XLK"
2017-10,"XLF, XLI, XLK"
2017-11,"XLB, XLF, XLK"
2017-12,"XLF, XLK, XLU"
2018-01,"XLB, XLI, XLK"
2018-02,"XLF, XLK, XLY"
2018-03,"XLF, XLK, XLY"
2018-04,"XLF, XLK, XLY"
2018-05,"XLF, XLK, XLY"
2018-06,"XLE, XLF, XLK"
2018-07,"XLE, XLK, XLY"
2018-08,"XLE, XLK, XLY"
2018-09,"XLE, XLK, XLY"
2018-10,"XLK, XLV, XLY"
2018-11,"XLK, XLV, XLY"
2018-12,"XLK, XLV, XLY"
2019-01,"XLU, XLV, XLY"
2019-02,"XLRE, XLU, XLV"
2019-03,"XLRE, XLU, XLV"
2019-04,"XLK, XLRE, XLU"
2019-05,"XLK, XLP, XLRE"
2019-06,"XLP, XLRE, XLU"
2019-07,"XLP, XLRE, XLU"
2019-08,"XLK, XLRE, XLU"
2019-09,"XLP, XLRE, XLU"
2019-10,"XLP, XLRE, XLU"
2019-11,"XLK, XLRE, XLU"
2019-12,"XLC, XLK, XLRE"
2020-01,"XLC, XLF, XLK"
2020-02,"XLK, XLP, XLU"
2020-03,"XLC, XLK, XLU"
2020-04,"XLK, XLP, XLV"
2020-05,"XLK, XLP, XLV"
2020-06,"XLC, XLK, XLV"
2020-07,"XLC, XLK, XLV"
2020-08,"XLC, XLK, XLV"
2020-09,"XLC, XLK, XLY"
2020-10,"XLC, XLK, XLY"
2020-11,"XLC, XLK, XLY"
2020-12,"XLC, XLK, XLY"
2021-01,"XLC, XLK, XLY"
2021-02,"XLB, XLK, XLY"
2021-03,"XLB, XLC, XLK"
2021-04,"XLB, XLE, XLY"
2021-05,"XLB, XLF, XLI"
2021-06,"XLB, XLF, XLI"
2021-07,"XLC, XLF, XLI"
2021-08,"XLE, XLF, XLI"
2021-09,"XLB, XLE, XLF"
2021-10,"XLC, XLE, XLF"
2021-11,"XLE, XLF, XLK"
2021-12,"XLE, XLF, XLK"
2022-01,"XLE, XLF, XLRE"
2022-02,"XLE, XLF, XLRE"
2022-03,"XLE, XLF, XLRE"
2022-04,"XLE, XLK, XLRE"
2022-05,"XLE, XLP, XLRE"
2022-06,"XLE, XLU, XLV"
2022-07,"XLE, XLP, XLU"
2022-08,"XLE, XLP, XLU"
2022-09,"XLE, XLP, XLU"
2022-10,"XLE, XLP, XLU"
2022-11,"XLE, XLP, XLU"
2022-12,"XLE, XLP, XLU"
2023-01,"XLE, XLP, XLU"
2023-02,"XLE, XLI, XLV"
2023-03,"XLB, XLE, XLI"
2023-04,"XLE, XLI, XLP"
2023-05,"XLE, XLI, XLK"
2023-06,"XLC, XLI, XLK"
2023-07,"XLI, XLK, XLY"
2023-08,"XLC, XLI, XLK"
2023-09,"XLC, XLI, XLK"
2023-10,"XLC, XLE, XLK"
2023-11,"XLC, XLK, XLY"
2023-12,"XLC, XLK, XLY"
2024-01,"XLC, XLK, XLY"
2024-02,"XLC, XLK, XLY"
2024-03,"XLC, XLK, XLY"
2024-04,"XLC, XLF, XLK"
2024-05,"XLC, XLF, XLK"
2024-06,"XLC, XLF, XLI"
2024-07,"XLC, XLF, XLK"
2024-08,"XLC, XLF, XLK"
2024-09,"XLC, XLF, XLK"
2024-10,"XLC, XLF, XLU"
2024-11,"XLC, XLF, XLU"
2024-12,"XLC, XLF, XLI"
